name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
Axis Oaklyn,banglore,2,"Mar, 2026","Yelahanka, Bangalore",10100,3,13000,,,Builder,Axis Concept,1500,2000,6.6
Amrutha Platinum Towers,banglore,2,"Sep, 2024","Whitefield, Bangalore",13900,3,16500,,,Builder,Amrutha Rama Constructions,1500,2000,8.685714286
Bhartiya City Nikoo Homes 6,banglore,1,"Sep, 2029","Kogilu, Bellari Road",10000,2,17900,3,3.32,Builder,Bhartiya Group,1500,2000,7.971428571
Lodha Mirabelle,banglore,2,"Dec,2027","Hebbal, Bangalore",20000,3,26900,4,3.25,Builder,Lodha,2500,3000,8.527272727
Sumadhuras Gardens By The Brook,hyderabad,2,"Sep, 2025","Rajendra Nagar, Hyderabad",9700,3,12800,,,Builder,Sumadhura Group,450,550,22.5
Unnati Shree Rath Apartments,hyderabad,2,"Dec, 2025","Nizampet, Hyderabad",6100,3,11700,,,Builder,Unnati,300,500,22.25
The Olympus,hyderabad,2,"Jun, 2026","Nanakramguda, Hyderabad",20000,3,25900,,,Builder,Sumadhura Group,900,1200,21.85714286
Sattva Lake Ridge,hyderabad,3,"Jan, 2028","Kokapet, Hyderabad",38400,4,53800,,,Builder,Sattva Group,1500,1900,27.11764706
Fortune Butterfly City,hyderabad,1,,"Kadthal, Hyderabad",3000,,32032.6087,,,Builder,Fortune Infra Developers,200,1834.765625,15
Realplus Fuji Halcyon,hyderabad,4,"Dec, 2028","Jubilee Hills, Hyderabad",105100,5,140000,,,Builder,Realplus Homes,5000,9000,17.50714286
Syamantaka Emerald Heights,hyderabad,2,"Dec, 2023","Bachupally, Hyderabad",7400,3,9600,,,Builder,Syamantaka Infra,300,400,24.28571429
NSL Nakshatra,hyderabad,3,"Dec, 2028","KPHB, Kukatpally",24300,4,33300,,,Builder,NSL Infratech,900,1500,24
Shiva Sai Lavista,hyderabad,2,"Nov, 2026","Nizampet, Hyderabad",9100,3,11800,,,Builder,Shiva Sai Constructions Hyderabad,500,600,19
Sunshine Green Meadows,hyderabad,2,"Dec, 2025","Bachupally, Hyderabad",6400,3,8500,,,Builder,Sunshine Infra Telangana,300,400,21.28571429
Pallavi Gardenia,hyderabad,2,,"Nagole, Ring Road",7200,3,11300,,,Builder,Pallavi Developers,300,500,23.125
Radhey Skye,hyderabad,2,"Mar, 2026","Kollur, Hyderabad",10000,3,19200,,,Builder,Radhey Constructions,400,800,24.33333333
Gamut Saraa City,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",18300,,32032.6087,,,Builder,Gamut India Projects,400,600,45.75
ASBL Loft,hyderabad,3,"Dec, 2026","Gachibowli, Hyderabad",17800,,32032.6087,,,Builder,ASBL,700,800,25.42857143
Swarga Sirulaseema II,hyderabad,2,"Feb, 2025","Shad nagar, Hyderabad",8900,,32032.6087,,,Builder,Swarga Seema Sandal Wood Farms,800,1834.765625,11.125
Candeur Lakescape,hyderabad,2,"Apr, 2027","Kondapur, Hyderabad",13800,3,20700,,,Builder,Candeur Constructions,500,800,26.53846154
Merlion Orchids,hyderabad,2,"Jul, 2026","Bachupally, Hyderabad",7600,3,10300,,,Builder,Merlion Builders,500,800,13.76923077
Mahaveer Crystal Garden,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",22700,4,45300,,,Builder,Mahaveer Estate Projects,900,1200,32.38095238
Lansum Elena,hyderabad,3,"Dec, 2028","Kokapet, Hyderabad",27100,4,39600,,,Builder,Lansum Enpoint Developers,1000,1500,26.68
Iris by Raghava,hyderabad,4,"Sep, 2028","Gachibowli, Hyderabad",89200,,32032.6087,,,Builder,Raghava Projects,5900,1834.765625,15.11864407
Aditya Athena,hyderabad,3,,"Shaikpet, Hyderabad",21900,,32032.6087,,,Builder,Sri Aditya Homes,1200,1834.765625,18.25
Visions Arsha,hyderabad,2,"Oct, 2027","Tellapur, Hyderabad",10400,3,20200,,,Builder,Vision Infra Hyderabad,800,1000,17
Bricks Marvella,hyderabad,2,"Mar, 2027","Tellapur, Hyderabad",11000,3,17300,,,Builder,Bricks Ramabhupal Projects LLP,800,1000,15.72222222
Sansa County Sector 2,hyderabad,4,"Sep, 2027","Patancheru, Hyderabad",25000,,32032.6087,,,Builder,Auro Realty,1100,1600,22.72727273
Supadha Gamya,hyderabad,3,"Jul, 2028","Tellapur, Hyderabad",21100,4,30100,,,Builder,Supadha Developers Private Limited,800,1000,28.44444444
Sumadhuras Gardens By The Brook,hyderabad,2,"Sep, 2025","Rajendra Nagar, Hyderabad",9700,3,12800,,,Builder,Sumadhura Group,400,600,22.5
Unnati Shree Rath Apartments,hyderabad,2,"Dec, 2025","Nizampet, Hyderabad",6100,3,11700,,,Builder,Unnati,300,600,19.77777778
The Olympus,hyderabad,2,"Jun, 2026","Nanakramguda, Hyderabad",20000,3,25900,,,Builder,Sumadhura Group,800,1200,22.95
Sattva Lake Ridge,hyderabad,3,"Jan, 2028","Kokapet, Hyderabad",38400,4,53800,,,Builder,Sattva Group,1500,1900,27.11764706
Fortune Butterfly City,hyderabad,2,,"Kadthal, Hyderabad",3000,,32032.6087,,,Builder,Fortune Infra Developers,200,1834.765625,15
Realplus Fuji Halcyon,hyderabad,4,"Dec, 2028","Jubilee Hills, Hyderabad",105100,5,140000,,,Builder,Realplus Homes,4700,9500,17.26056338
Syamantaka Emerald Heights,hyderabad,2,"Dec, 2023","Bachupally, Hyderabad",7400,3,9600,,,Builder,Syamantaka Infra,300,600,18.88888889
NSL Nakshatra,hyderabad,3,"Dec, 2028","KPHB, Kukatpally",24300,4,33300,,,Builder,NSL Infratech,900,1500,24
Shiva Sai Lavista,hyderabad,2,"Nov, 2026","Nizampet, Hyderabad",9100,3,11800,,,Builder,Shiva Sai Constructions Hyderabad,400,600,20.9
Sunshine Green Meadows,hyderabad,2,"Dec, 2025","Bachupally, Hyderabad",6400,3,8500,,,Builder,Sunshine Infra Telangana,300,500,18.625
Pallavi Gardenia,hyderabad,2,,"Nagole, Ring Road",7200,3,11300,,,Builder,Pallavi Developers,300,600,20.55555556
Radhey Skye,hyderabad,2,"Mar, 2026","Kollur, Hyderabad",10000,3,19200,,,Builder,Radhey Constructions,600,800,20.85714286
Gamut Saraa City,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",18300,,32032.6087,,,Builder,Gamut India Projects,1000,1834.765625,18.3
ASBL Loft,hyderabad,3,"Dec, 2026","Gachibowli, Hyderabad",17800,,32032.6087,,,Builder,ASBL,900,1834.765625,19.77777778
Candeur Lakescape,hyderabad,2,"Apr, 2027","Kondapur, Hyderabad",13800,3,20700,,,Builder,Candeur Constructions,600,800,24.64285714
Merlion Orchids,hyderabad,2,"Jul, 2026","Bachupally, Hyderabad",7600,3,10300,,,Builder,Merlion Builders,400,600,17.9
Mahaveer Crystal Garden,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",22700,4,45300,,,Builder,Mahaveer Estate Projects,900,1700,26.15384615
Lansum Elena,hyderabad,3,"Dec, 2028","Kokapet, Hyderabad",27000,4,39600,,,Builder,Lansum Enpoint Developers,1100,1700,23.78571429
Iris by Raghava,hyderabad,4,"Sep, 2028","Gachibowli, Hyderabad",89200,,32032.6087,,,Builder,Raghava Projects,5900,1834.765625,15.11864407
Aditya Athena,hyderabad,3,,"Shaikpet, Hyderabad",21900,,32032.6087,,,Builder,Sri Aditya Homes,1200,1834.765625,18.25
Visions Arsha,hyderabad,2,"Oct, 2027","Tellapur, Hyderabad",10400,3,20200,,,Builder,Vision Infra Hyderabad,800,1000,17
Bricks Marvella,hyderabad,2,"Mar, 2027","Tellapur, Hyderabad",11000,3,17300,,,Builder,Bricks Ramabhupal Projects LLP,500,700,23.58333333
Sansa County Sector 2,hyderabad,4,"Sep, 2027","Patancheru, Hyderabad",25000,,32032.6087,,,Builder,Auro Realty,1600,1834.765625,15.625
Supadha Gamya,hyderabad,3,"Jul, 2028","Tellapur, Hyderabad",21100,4,30100,,,Builder,Supadha Developers Private Limited,800,1600,21.33333333
Rustomjee Crown,mumbai,3,"Dec, 2024","Prabhadevi, Mumbai",137100,4,262500,,,Builder,Rustomjee,600,1834.765625,228.5
Lodha Divino,mumbai,3,"Dec, 2027","Matunga, Mumbai",39600,3,60600,,,Builder,Lodha,1000,2500,28.62857143
Forest Hills at The Prestige City,mumbai,2,"Dec, 2030","Mulund West, Mumbai",48400,4,83100,,,Builder,Prestige Group,1000,4000,26.3
Rustomjee 180 Bayview,mumbai,3,"Jun, 2029","Matunga West, Mumbai",36700,3,62200,,,Builder,Rustomjee,1000,4000,19.78
Godrej Avenue Eleven,mumbai,2,"Dec, 2028","Mahalaxmi, Mumbai",148700,,32032.6087,,,Builder,Godrej Properties,500,1834.765625,297.4
Raheja Modern Vivarea,mumbai,4,"Mar, 2028","Mahalaxmi, Mumbai",177300,4,216800,,,Builder,K Raheja Corp,500,600,358.2727273
Ajmera Manhattan,mumbai,3,"Jun, 2027","Wadala East, Mumbai",31600,3,44300,,,Builder,Ajmera Group,1500,2000,21.68571429
Park Royale,mumbai,2,"Dec, 2026","Marol, Mumbai",25300,3,34000,,,Builder,Pride Group,900,1200,28.23809524
Zynergy,mumbai,2,"Nov, 2024","Chembur, Mumbai",29400,,32032.6087,,,Builder,AHCL,1000,1834.765625,29.4
Sagar Avenue 2,mumbai,2,,"Santacruz East, Mumbai",20000,2,22500,,,Builder,Sagar Shopping Developers,1000,1200,19.31818182
