NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
Radhey Skye,hyderabad,2,"Mar, 2026","Kollur, Hyderabad",1,3,1.92,,,Builder,Radhey Constructions,400,800
Gamut Saraa City,hyderabad,3," Dec, 2026","Attapur,Gudimalkapur, Hyderabad",1.83,,,,,Builder,Gamut India Projects,400,600
ASBL Loft,hyderabad,3," Dec, 2026","Gachibowli, Hyderabad",1.78,,,,,Builder,ASBL,700,800
Swarga Sirulaseema II,hyderabad,2," Feb, 2025","Shad nagar, Hyderabad",0.89,,,,,Builder,Swarga Seema Sandal Wood Farms,800,
Candeur Lakescape,hyderabad,2,"Apr, 2027","Kondapur, Hyderabad",1.38,3,2.07,,,Builder,Candeur Constructions,500,800
Merlion Orchids,hyderabad,2,"Jul, 2026","Bachupally, Hyderabad",0.76,3,1.03,,,Builder,Merlion Builders,500,800
Mahaveer Crystal Garden,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",2.27,4,4.53,,,Builder,Mahaveer Estate Projects,900,1200
Lansum Elena,hyderabad,3,"Dec, 2028","Kokapet, Hyderabad",2.71,4,3.96,,,Builder,Lansum Enpoint Developers,1000,1500
Iris by Raghava,hyderabad,4,"Sep, 2028","Gachibowli, Hyderabad",8.92,,,,,Builder,Raghava Projects,5900,
Aditya Athena,hyderabad,3,,"Shaikpet, Hyderabad",2.19,,,,,Builder,Sri Aditya Homes,1200,
Visions Arsha,hyderabad,2," Oct, 2027","Tellapur, Hyderabad",1.04,3,2.02,,,Builder,Vision Infra Hyderabad,800,1000
Bricks Marvella,hyderabad,2," Mar, 2027","Tellapur, Hyderabad",1.1,3,1.73,,,Builder,Bricks Ramabhupal Projects LLP,800,1000
Sansa County Sector 2,hyderabad,4," Sep, 2027 ","Patancheru, Hyderabad",2.5,,,,,Builder,Auro Realty,1100,1600
Supadha Gamya,hyderabad,3,"Jul, 2028","Tellapur, Hyderabad",2.11,4,3.01,,,Builder,Supadha Developers Private Limited,800,1000
Sumadhuras Gardens By The Brook,hyderabad,2,"Sep, 2025 ","Rajendra Nagar, Hyderabad",0.97,3,1.28,,,Builder,Sumadhura Group,400,600
Unnati Shree Rath Apartments,hyderabad,2,"Dec, 2025","Nizampet, Hyderabad",0.61,3,1.17,,,Builder,Unnati,300,600
The Olympus,hyderabad,2,"Jun, 2026","Nanakramguda, Hyderabad",2,3,2.59,,,Builder,Sumadhura Group,800,1200
Sattva Lake Ridge,hyderabad,3," Jan, 2028 ","Kokapet, Hyderabad",3.84,4,5.38,,,Builder,Sattva Group,1500,1900
Fortune Butterfly City,hyderabad,2,,"Kadthal, Hyderabad",0.3,,,,,Builder,Fortune Infra Developers,200,
Realplus Fuji Halcyon,hyderabad,4," Dec, 2028","Jubilee Hills, Hyderabad",10.51,5,14,,,Builder,Realplus Homes,4700,9500
Syamantaka Emerald Heights,hyderabad,2," Dec, 2023","Bachupally, Hyderabad",0.74,3,0.96,,,Builder,Syamantaka Infra,300,600
NSL Nakshatra,hyderabad,3,"Dec, 2028","KPHB, Kukatpally",2.43,4,3.33,,,Builder,NSL Infratech,900,1500
Shiva Sai Lavista,hyderabad,2,"Nov, 2026","Nizampet, Hyderabad",0.91,3,1.18,,,Builder,Shiva Sai Constructions Hyderabad,400,600
Sunshine Green Meadows,hyderabad,2,"Dec, 2025","Bachupally, Hyderabad",0.64,3,0.85,,,Builder,Sunshine Infra Telangana,300,500
Pallavi Gardenia,hyderabad,2,,"Nagole, Ring Road",0.72,3,1.13,,,Builder,Pallavi Developers,300,600
Radhey Skye,hyderabad,2," Mar, 2026","Kollur, Hyderabad",1,3,1.92,,,Builder,Radhey Constructions,600,800
Gamut Saraa City,hyderabad,3," Dec, 2026","Attapur,Gudimalkapur, Hyderabad",1.83,,,,,Builder,Gamut India Projects,1000,
ASBL Loft,hyderabad,3," Dec, 2026","Gachibowli, Hyderabad",1.78,,,,,Builder,ASBL,900,
Candeur Lakescape,hyderabad,2," Apr, 2027","Kondapur, Hyderabad",1.38,3,2.07,,,Builder,Candeur Constructions,600,800
Merlion Orchids,hyderabad,2,"Jul, 2026","Bachupally, Hyderabad",0.76,3,1.03,,,Builder,Merlion Builders,400,600
Mahaveer Crystal Garden,hyderabad,3,"Dec, 2026","Attapur,Gudimalkapur, Hyderabad",2.27,4,4.53,,,Builder,Mahaveer Estate Projects,900,1700
Lansum Elena,hyderabad,3,"Dec, 2028","Kokapet, Hyderabad",2.7,4,3.96,,,Builder,Lansum Enpoint Developers,1100,1700
Iris by Raghava,hyderabad,4,"Sep, 2028","Gachibowli, Hyderabad",8.92,,,,,Builder,Raghava Projects,5900,
Aditya Athena,hyderabad,3,,"Shaikpet, Hyderabad",2.19,,,,,Builder,Sri Aditya Homes,1200,
Visions Arsha,hyderabad,2," Oct, 2027","Tellapur, Hyderabad",1.04,3,2.02,,,Builder,Vision Infra Hyderabad,800,1000
Bricks Marvella,hyderabad,2,"Mar, 2027","Tellapur, Hyderabad",1.1,3,1.73,,,Builder,Bricks Ramabhupal Projects LLP,500,700
